Name,Tag,Organisatietype,Telefoon,Fax,E-mail,Internet,Beschrijving,Bezoekadres,Postadres
"Onderwijs, Cultuur en Wetenschap",Laatst bijgewerkt op:29-08-2019,Ministerie,070 412 34 56 (algemeen),070 412 34 50,No E-mail,https://www.rijksoverheid.nl/ministeries/ministerie-van-onderwijs-cultuur-en-wetenschap,"Het ministerie van Onderwijs, Cultuur en Wetenschap (OCW) werkt aan een slim, vaardig en creatief Nederland. OCW wil dat iedereen goed onderwijs volgt en zich voorbereidt op zelfstandigheid en verantwoordelijkheid. Verder wil het ministerie dat iedereen cultuur kan beleven en dat leraren, kunstenaars en wetenschappers hun werk kunnen doen.","Rijnstraat 50 ,2515 XP Den Haag","Postbus 16375 ,2500 BJ Den Haag"
Vereniging van Nederlandse Gemeenten,Laatst bijgewerkt op:09-01-2020,Koepelorganisatie,(070) 373 83 93 (Klantcontactcentrum),No Fax Number,mailto:info@vng.nl,https://vng.nl,"De Vereniging van Nederlandse Gemeenten (VNG) is de organisatie die alle gemeenten in Nederland en de overzeese gebieden verbindt. De vereniging heeft als doel om de lokale overheid te versterken, zodat gemeenten hun inwoners optimaal kunnen bedienen.","Nassaulaan 12 ,2514 JS Den Haag","Postbus 30435 ,2500 GK Den Haag"
Rechtbank Zeeland-West-Brabant,Laatst bijgewerkt op:02-12-2019,Rechtspraak,(088) 361 60 00 (algemeen),No Fax Number,No E-mail,https://www.rechtspraak.nl/Organisatie-en-contact/Organisatie/Rechtbanken/Rechtbank-Zeeland-West-Brabant,Rechtbank Zeeland-West-Brabant is bevoegd om in het arrondissement recht te spreken in eerste aanleg. Dit betekent dat de rechtbank de eerste instantie is die een juridisch oordeel over een zaak of conflict geeft. Daarna kan een procespartij (bijvoorbeeld de veroordeelde of het Openbaar Ministerie (om.nl)) in hoger beroep gaan bij gerechtshof ’s-Hertogenbosch.,NOn Bezoekadres,"Postbus 90110 ,4800 RA Breda"
Interprovinciaal Overleg,Laatst bijgewerkt op:11-03-2020,Koepelorganisatie,(070) 888 12 12 (algemeen),(070) 888 12 80,mailto:communicatie@ipo.nl,No web Link,"Het Interprovinciaal Overleg (IPO) is het samenwerkingsverband van en voor de twaalf provincies. Hierin bundelen de provincies kennis, kunde en contacten voor onderlinge samenwerking en voor het behartigen van hun gezamenlijke belangen bij regering, parlement, departementen, publieke en private partners. Het IPO is een vereniging waarvan uitsluitend Nederlandse provincies lid kunnen zijn.","Herengracht 23 ,2511 EG Den Haag","Herengracht 23 ,2511 EG Den Haag"
Infrastructuur en Waterstaat,Laatst bijgewerkt op:04-12-2019,Ministerie,070 456 00 00 (algemeen),070 456 11 11,No E-mail,https://www.rijksoverheid.nl/ministeries/ministerie-van-infrastructuur-en-waterstaat,"Het ministerie van Infrastructuur en Waterstaat (IenW) zet in op leefbaarheid en bereikbaarheid, met een vlotte doorstroming in een goed ingerichte, schone en veilige omgeving. Het ministerie werkt aan krachtige verbindingen over de weg, spoor, het water en door de lucht, beschermt tegen wateroverlast en bevordert de kwaliteit van lucht en water. Een leefbaar, bereikbaar en veilig Nederland. Daar werkt IenW aan.","Rijnstraat 8 ,2515 XP Den Haag","Postbus 20901 ,2500 EX Den Haag"
Unie van Waterschappen,Laatst bijgewerkt op:26-06-2019,Koepelorganisatie,(070) 351 97 51 (algemeen),No Fax Number,mailto:info@uvw.nl,https://www.uvw.nl,Non Beschrijving,"Koningskade 40 ,2596 AA Den Haag","Postbus 93218 ,2509 AE Den Haag"
Rechtbank Overijssel,Laatst bijgewerkt op:02-12-2019,Rechtspraak,(088) 361 55 55 (algemeen),No Fax Number,No E-mail,https://www.rechtspraak.nl/Organisatie-en-contact/Organisatie/Rechtbanken/Rechtbank-Overijssel,"De rechtbank Overijssel staat voor goede, tijdige en begrijpelijke rechtspraak en spreekt recht in Almelo, Enschede en Zwolle.",NOn Bezoekadres,
Tweede Kamer der Staten-Generaal,Laatst bijgewerkt op:14-10-2019,"Hoog College van Staat,",No contact NUmber,No Fax Number,No E-mail,http://www.tweedekamer.nl,"ZETELVERDELING: Volkspartij voor Vrijheid en Democratie VVD: 32 zetels, Partij voor de Vrijheid PVV: 20 zetels, Christen Democratisch Appel CDA: 19 zetels, Democraten 66 D66: 19 zetels, GroenLinks GL: 14 zetels, Socialistische Partij SP: 14 zetels, Partij van de Arbeid PvdA: 9 zetels, ChristenUnie CU: 5 zetels, Partij voor de Dieren PvdD: 4 zetels, 50plus: 4 zetels, Staatkundig gereformeerde Partij SGP: 3 zetels, DENK: 3 zetels, Forum voor Democratie FvD: 2 zetels, Lid Van Kooten-Arissen: 1 zetel, Van Haga: 1 zetel, Voorzitter: Arib. K. PvdA","Lange Poten 4 ,2511 CL Den Haag","Postbus 20018 ,2500 EA Den Haag"
Nationale ombudsman,Laatst bijgewerkt op:05-09-2019,Hoog College van Staat,0800 - 33 55 555 (algemeen),No Fax Number,mailto:post@nationaleombudsman.nl,http://www.nationaleombudsman.nl,"De Nationale ombudsman is er voor iedereen die een probleem heeft met de overheid. Denk aan het UWV, de Belastingdienst, de politie, de Sociale Verzekeringsbank, het CJIB en de meeste gemeenten. We behandelen ook klachten over particuliere instellingen die een overheidstaak uitoefenen, zoals de Stichting Centraal Bureau Rijvaardigheidsbewijzen (CBR). We zijn er voor álle soorten problemen met de overheid. Hoe groot of hoe klein dan ook.","Bezuidenhoutseweg 151 ,2594 AG Den Haag","Postbus 93122 ,2509 AC Den Haag"
Kanselarij der Nederlandse Orden,Laatst bijgewerkt op:05-09-2019,Hoog College van Staat,070 375 1200 (algemeen),No Fax Number,mailto:info@kanselarij.nl,http://www.lintjes.nl,Non Beschrijving,"Nassaulaan 18 ,2514 JT Den Haag","Postbus 30436 ,2500 GK Den Haag"
Kabinet van de Koning,Laatst bijgewerkt op:05-09-2019,Kabinet van de Koning,No contact NUmber,No Fax Number,No E-mail,http://www.kabinetvandekoning.nl,Het Kabinet van de Koning is een kleine rijksorganisatie die de Koning ondersteunt in de uitoefening van zijn constitutionele werkzaamheden. Dit heeft onder meer betrekking op de contacten tussen de Koning en de overige leden van de regering.,"Korte Vijverberg 3 ,2513 AB Den Haag","Postbus 20016 ,2500 EA Den Haag"
Provincie Zeeland,Laatst bijgewerkt op:29-08-2019,Provincie,(0118) 63 10 11 (algemeen),(0118) 62 69 49,mailto:provincie@zeeland.nl,https://www.zeeland.nl,"Alle informatie over de Provincie Zeeland, zowel organisatie als provinciaal bestuur, vindt u op de website https://www.zeeland.nl/. U kunt de provincie volgen via twitter @provzeeland en Facebook.","Abdij 6 ,4331 BK Middelburg","Postbus 6001 ,4330 LA Middelburg"
Provincie Utrecht,Laatst bijgewerkt op:29-08-2019,Provincie,(030) 258 91 11 (algemeen),(030) 258 38 48,mailto:info@provincie-utrecht.nl,https://www.provincie-utrecht.nl,Non Beschrijving,"Archimedeslaan 6 ,3584 BA Utrecht","Postbus 80300 ,3508 TH Utrecht"
Algemene Rekenkamer,Laatst bijgewerkt op:07-04-2020,Hoog College van Staat,070-342 43 44 (algemeen),No Fax Number,mailto:voorlichting@rekenkamer.nl,http://www.rekenkamer.nl,"De Algemene Rekenkamer onderzoekt of de rijksoverheid publiek geld zinnig, zuinig en zorgvuldig uitgeeft. Haar wettelijke taak is het controleren van de inkomsten en uitgaven van het Rijk en hierover rapporteert de Algemene Rekenkamer één keer per jaar aan het parlement op Verantwoordingsdag (derde woensdag in mei). Op basis van dit oordeel kan het parlement besluiten of zij decharge verlenen aan het kabinet. Daarnaast rapporteert de Algemene Rekenkamer over afzonderlijke onderzoeken aan het parlement zodat Kamerleden kunnen bepalen of het beleid van een minister doeltreffend is.","Lange Voorhout 8 ,2514 ED Den Haag","Postbus 20015 ,2500 EA Den Haag"
Provincie Zuid-Holland,Laatst bijgewerkt op:29-08-2019,Provincie,0704416611 (algemeen),No Fax Number,mailto:zuidholland@pzh.nl,http://www.zuid-holland.nl,Non Beschrijving,"Zuid-Hollandplein 1 ,2596 AW Den Haag","Postbus 90602 ,2509 LP Den Haag"
Raad van State,Laatst bijgewerkt op:02-01-2020,"Adviescollege,",(070) 426 44 26 (algemeen),(070) 365 13 80,mailto:voorlichting@raadvanstate.nl,https://www.raadvanstate.nl,"De Raad van State heeft twee hoofdtaken. Deze twee taken worden binnen de Raad uitgevoerd door twee afzonderlijke Afdelingen. De Afdeling advisering van de Raad van State is adviseur van de regering voor wetgeving en bestuur. De Afdeling bestuursrechtspraak van de Raad van State is hoogste algemene bestuursrechter van het land. De werkwijze en taken van de Raad van State zijn vastgelegd in de Grondwet en in de Wet op de Raad van State. De Raad van State is een Hoog College van Staat. De Staten-Generaal, de Algemene Rekenkamer en de Nationale ombudsman zijn dat bijvoorbeeld ook. Dit zijn bij de Grondwet geregelde instituten belast met een eigen taak, die zij onafhankelijk van de regering uitvoeren. Zijne Majesteit de Koning is Voorzitter van de Raad van State. De Raad van State bestaat uit een vice-president en maximaal tien leden. De vice-president heeft de dagelijkse leiding over het college en de organisatie van de Raad. In de Afdelingen advisering en bestuursrechtspraak van de Raad van State zijn naast leden ook staatsraden en staatsraden in buitengewone dienst werkzaam. De Raad van State telt op dit moment ruim 60 staatsraden. Het aantal leden en staatsraden dat in de beide Afdelingen tegelijkertijd werkzaam is, is in de wet beperkt tot maximaal tien. Leden en staatsraden worden bij koninklijk besluit benoemd voor het leven. De leden van de Afdeling advisering kunnen ook voor bepaalde tijd worden benoemd. De ministerraad draagt de leden en staatsraden voor, waarbij de Raad zelf een aanbeveling doet. Voor de benoeming van de vice-president wordt de Raad geraadpleegd. Bij de benoeming van leden en staatsraden wordt gelet op bekwaamheid en ervaring op het terrein van wetgeving, bestuur en rechtspraak. Zij komen voort uit de kring van de wetenschap, het bestuur, de rechterlijke macht en de overheid. Leden en staatsraden die alleen in de Afdeling bestuursrechtspraak worden benoemd, moeten een juridische achtergrond hebben. De Raad van State telt ruim 600 medewerkers onder wie ongeveer 250 juristen. De secretaris heeft de leiding over de organisatie, die is opgebouwd uit de volgende onderdelen: De directie Advisering ondersteunt de Afdeling advisering in haar werk als adviseur. De directie is onderverdeeld in sectoren die bestaan uit wetgevingsjuristen. Daarnaast werken er administratieve medewerkers. De directie Bestuursrechtspraak ondersteunt de Afdeling bestuursrechtspraak in haar werk als bestuursrechter en bestaat uit units die zijn opgebouwd uit juristen en administratieve medewerkers. De directie Bedrijfsondersteuning bestaat onder ander uit een afdeling Personeelszaken, een automatiseringsafdeling en een afdeling Bibliotheek en Archief. De directie Bestuursondersteuning verzorgt de inhoudelijke en administratieve ondersteuning aan de vice-president en de secretaris. Ook de afdeling Communicatie valt hieronder.","Kneuterdijk 22 ,2514 EN Den Haag","Postbus 20019 ,2500 EA Den Haag"
Eerste Kamer der Staten-Generaal,Laatst bijgewerkt op:18-02-2020,"Hoog College van Staat,",070-3129200 (algemeen),070-3129390,mailto:postbus@eerstekamer.nl,http://www.eerstekamer.nl,"ZETELVERDELING: Volkspartij voor Vrijheid en Democratie (VVD): 12 zetels, Forum voor Democratie (FVD): 10 zetels, Christen Democratisch Appel (CDA): 9 zetels, GroenLinks (GL): 8 zetels, Democraten 66 (D66): 7 zetels, Partij van de Arbeid (PvdA): 6 zetels, Partij voor de Vrijheid (PVV): 5 zetels, Socialistische Partij (SP): 4 zetels, ChristenUnie (CU): 4 zetels, Partij voor de Dieren (PvdD): 3 zetels, 50PLUS: 2 zetels, Staatkundig Gereformeerde Partij (SGP): 2 zetels, Fractie-Otten: 2 zetels, Onafhankelijke Senaatsfractie (OSF): 1 zetel.","Binnenhof 22 ,2513 AA Den Haag","Postbus 20017 ,2500 EA Den Haag"
Provincie Overijssel,Laatst bijgewerkt op:29-08-2019,Provincie,038 499 88 99 (algemeen),038 425 48 88,mailto:postbus@overijssel.nl,http://www.overijssel.nl,Missie van de provincie Overijssel:,"Luttenbergstraat 2 ,8012 EE Zwolle","Postbus 10078 ,8000 GB Zwolle"
Provincie Noord-Brabant,Laatst bijgewerkt op:07-04-2020,Provincie,(073) 681 2990 (algemeen),(073) 680 7680,mailto:info@brabant.nl,http://www.brabant.nl,Non Beschrijving,"Brabantlaan 1 ,5216 TV 's-Hertogenbosch","Postbus 90151 ,5200 MC 's-Hertogenbosch"
Provincie Noord-Holland,Laatst bijgewerkt op:29-08-2019,Provincie,0235143143 (algemeen),No Fax Number,mailto:post@noord-holland.nl,http://www.noord-holland.nl,Alle informatie over de provincie Noord-Holland staat op de website www.noord-holland.nl. Volg de provincie ook via Twitter @ProvincieNH.,"Houtplein 33 ,2012 DE Haarlem","Postbus 3007 ,2001 DA Haarlem"
Provincie Limburg,Laatst bijgewerkt op:29-08-2019,Provincie,(043) 389 99 99 (algemeen),(043) 361 80 99,mailto:postbus@prvlimburg.nl,https://www.limburg.nl/,"Alle informatie over de Provincie Limburg, zowel organisatie als provinciaal bestuur, vindt u op de website https://www.limburg.nl/","Limburglaan 10 ,6229 GA Maastricht","Postbus 5700 ,6202 MA Maastricht"
Provincie Groningen,Laatst bijgewerkt op:08-04-2020,Provincie,(050)3164911 (algemeen),(050) 316 49  33,mailto:info@provinciegroningen.nl,http://www.provinciegroningen.nl,"De adres- en telecomgegevens gelden voor alle dienstonderdelen, tenzij anders staat vermeld.","Martinikerkhof 12 ,9712 JG Groningen","Postbus 610 ,9700 AP Groningen"
Provincie Drenthe,Laatst bijgewerkt op:29-08-2019,Provincie,(0592) 36 55 55 (algemeen),(0592) 36 57 77,mailto:post@drenthe.nl,http://www.provincie.drenthe.nl,Non Beschrijving,"Westerbrink 1 ,9405 BJ Assen","Postbus 122 ,9400 AC Assen"
Provincie Gelderland,Laatst bijgewerkt op:05-11-2019,Provincie,0263599999 (algemeen),No Fax Number,mailto:provincieloket@gelderland.nl,https://www.gelderland.nl,Alle informatie over de Provincie Gelderland vindt u op de website www.gelderland.nl.,"Markt 11 ,6811 CG Arnhem","Postbus  9090 ,6800 GX Arnhem"
Raden,Laatst bijgewerkt op:06-08-2019,"Adviescollege,",070 426 64 26 (algemeen),070 363 91 53,No E-mail,https://www.rijksoverheid.nl/ministeries/ministerie-van-binnenlandse-zaken-en-koninkrijksrelaties,Non Beschrijving,"Turfmarkt  147 ,2511 DP Den Haag","Postbus 20011 ,2500 EA Den Haag"
Overleg- en Adviescommissies,Laatst bijgewerkt op:06-08-2019,"Adviescollege,",070 340 79 11 (algemeen),070 340 78 34,No E-mail,https://www.rijksoverheid.nl/ministeries/ministerie-van-volksgezondheid-welzijn-en-sport,Non Beschrijving,"Parnassusplein 5 ,2511 VX Den Haag","Postbus 20350 ,2500 EJ Den Haag"
Hoge Raad van Adel,Laatst bijgewerkt op:17-12-2019,Adviescollege,(070) 36 14 281 (algemeen),(070) 36 31 712,mailto:info@hogeraadvanadel.nl,https://www.hogeraadvanadel.nl,"Ingesteld bij besluit van de Soevereine Vorst van 24 juni 1814, nr.10. Samenstelling en bevoegdheid zijn geregeld in de Wet op de adeldom van 10 mei 1994, Stb.360.","Nassaulaan 2-b ,2514 JS Den Haag","Postbus 16325 ,2500 BH Den Haag"
Raad van State,Laatst bijgewerkt op:02-01-2020,"Adviescollege,",(070) 426 44 26 (algemeen),(070) 365 13 80,mailto:voorlichting@raadvanstate.nl,https://www.raadvanstate.nl,"De Raad van State heeft twee hoofdtaken. Deze twee taken worden binnen de Raad uitgevoerd door twee afzonderlijke Afdelingen. De Afdeling advisering van de Raad van State is adviseur van de regering voor wetgeving en bestuur. De Afdeling bestuursrechtspraak van de Raad van State is hoogste algemene bestuursrechter van het land. De werkwijze en taken van de Raad van State zijn vastgelegd in de Grondwet en in de Wet op de Raad van State. De Raad van State is een Hoog College van Staat. De Staten-Generaal, de Algemene Rekenkamer en de Nationale ombudsman zijn dat bijvoorbeeld ook. Dit zijn bij de Grondwet geregelde instituten belast met een eigen taak, die zij onafhankelijk van de regering uitvoeren. Zijne Majesteit de Koning is Voorzitter van de Raad van State. De Raad van State bestaat uit een vice-president en maximaal tien leden. De vice-president heeft de dagelijkse leiding over het college en de organisatie van de Raad. In de Afdelingen advisering en bestuursrechtspraak van de Raad van State zijn naast leden ook staatsraden en staatsraden in buitengewone dienst werkzaam. De Raad van State telt op dit moment ruim 60 staatsraden. Het aantal leden en staatsraden dat in de beide Afdelingen tegelijkertijd werkzaam is, is in de wet beperkt tot maximaal tien. Leden en staatsraden worden bij koninklijk besluit benoemd voor het leven. De leden van de Afdeling advisering kunnen ook voor bepaalde tijd worden benoemd. De ministerraad draagt de leden en staatsraden voor, waarbij de Raad zelf een aanbeveling doet. Voor de benoeming van de vice-president wordt de Raad geraadpleegd. Bij de benoeming van leden en staatsraden wordt gelet op bekwaamheid en ervaring op het terrein van wetgeving, bestuur en rechtspraak. Zij komen voort uit de kring van de wetenschap, het bestuur, de rechterlijke macht en de overheid. Leden en staatsraden die alleen in de Afdeling bestuursrechtspraak worden benoemd, moeten een juridische achtergrond hebben. De Raad van State telt ruim 600 medewerkers onder wie ongeveer 250 juristen. De secretaris heeft de leiding over de organisatie, die is opgebouwd uit de volgende onderdelen: De directie Advisering ondersteunt de Afdeling advisering in haar werk als adviseur. De directie is onderverdeeld in sectoren die bestaan uit wetgevingsjuristen. Daarnaast werken er administratieve medewerkers. De directie Bestuursrechtspraak ondersteunt de Afdeling bestuursrechtspraak in haar werk als bestuursrechter en bestaat uit units die zijn opgebouwd uit juristen en administratieve medewerkers. De directie Bedrijfsondersteuning bestaat onder ander uit een afdeling Personeelszaken, een automatiseringsafdeling en een afdeling Bibliotheek en Archief. De directie Bestuursondersteuning verzorgt de inhoudelijke en administratieve ondersteuning aan de vice-president en de secretaris. Ook de afdeling Communicatie valt hieronder.","Kneuterdijk 22 ,2514 EN Den Haag","Postbus 20019 ,2500 EA Den Haag"
Rechtbank Oost-Brabant,Laatst bijgewerkt op:30-12-2019,Rechtspraak,(088) 362 10 00 (algemeen),No Fax Number,No E-mail,https://www.rechtspraak.nl/Organisatie-en-contact/Organisatie/Rechtbanken/Rechtbank-Oost-Brabant,"Bij de rechtbank Oost-Brabant werken ruim 600 mensen onder wie juridisch medewerkers, rechters, administratief medewerkers en adviseurs. Onze organisatie bestaat uit teams die werken in de rechtsgebieden toezicht, familie- en jeugdrecht, strafrecht, civiel recht en bestuursrecht. Daarnaast zijn er bedrijfsvoeringsteams op gebied van Control, Communicatie, Facilitaire Zaken, HRM en Bestuursondersteuning.",NOn Bezoekadres,
Externe Advies Colleges,Laatst bijgewerkt op:06-08-2019,"Adviescollege,",070 412 34 56 (algemeen),070 412 34 50,No E-mail,https://www.rijksoverheid.nl/ministeries/ministerie-van-onderwijs-cultuur-en-wetenschap,Non Beschrijving,"Rijnstraat 50 ,2515 XP Den Haag","Postbus 16375 ,2500 BJ Den Haag"
Rechtbank Noord-Nederland,Laatst bijgewerkt op:02-12-2019,Rechtspraak,(088) 361 44 44 (algemeen),No Fax Number,mailto:info.rechtbanknoordnederland@rechtspraak.nl,https://www.rechtspraak.nl/Organisatie-en-contact/Organisatie/Rechtbanken/Rechtbank-Noord-Nederland,Rechtbank Noord-Nederland is bevoegd om in haar arrondissement recht te spreken in eerste aanleg.,NOn Bezoekadres,"Postbus 781 ,9700 AT Groningen"
Rechtbank Noord-Holland,Laatst bijgewerkt op:02-12-2019,Rechtspraak,(088) 361 61 00 (algemeen),No Fax Number,No E-mail,https://www.rechtspraak.nl/Organisatie-en-contact/Organisatie/Rechtbanken/Rechtbank-Noord-Holland,Rechtbank Noord-Holland is bevoegd om in zijn arrondissement recht te spreken in eerste aanleg. Dit betekent dat de rechtbank de eerste instantie is die een juridisch oordeel over een zaak of conflict geeft. Als een van de partijen het niet eens zijn met het oordeel van de rechter kan die partij in hoger beroep gaan. Bij rechtbank Noord-Holland werken ongeveer 750 mensen.,NOn Bezoekadres,
Provincie Fryslân,Laatst bijgewerkt op:29-08-2019,Provincie,(058) 292 59 25 (algemeen),(058) 292 51 25,mailto:provincie@fryslan.frl,https://www.fryslan.frl,Non Beschrijving,"Tweebaksmarkt 52 ,8911 KZ Leeuwarden","Postbus 20120 ,8900 HM Leeuwarden"
Provincie Flevoland,Laatst bijgewerkt op:29-08-2019,Provincie,(0320) 265 265 (algemeen),(0320) 26 52 60,mailto:provincie@flevoland.nl,http://www.flevoland.nl,Non Beschrijving,"Visarenddreef 1 ,8232 PH Lelystad","Postbus 55 ,8200 AB Lelystad"
Rechtbank Midden-Nederland,Laatst bijgewerkt op:30-12-2019,Rechtspraak,(088) 362 00 00 (algemeen),No Fax Number,No E-mail,https://www.rechtspraak.nl/Organisatie-en-contact/Organisatie/Rechtbanken/Rechtbank-Midden-Nederland,Uit de voormalige rechtbanken van Utrecht en Zwolle-Lelystad (locatie Lelystad) is op 1 januari 2013 de rechtbank Midden-Nederland ontstaan. Deze is bevoegd om in haar arrondissement recht te spreken in eerste aanleg. Dit betekent dat de rechtbank de eerste instantie is die een juridisch oordeel over een zaak of conflict geeft. Daarna kan een procespartij (bijvoorbeeld de veroordeelde of het Openbaar Ministerie (om.nl)) in hoger beroep gaan bij gerechtshof Arnhem-Leeuwarden. Bij rechtbank Midden-Nederland werken ongeveer 175 rechters en 580 andere medewerkers in vaste dienst.,NOn Bezoekadres,
