City_name,Hospital_name,Hospital_url,Telephone,Address
Detroit,Downtown Veterinary Hospital,http://www.findalocalvet.com/Profiles/Downtown-Veterinary-Hospital.aspx,(313) 832-7282,"3800 Grand River Avenue,Detroit,MI,48208"
Denver,Animal Clinic-North,http://www.findalocalvet.com/Profiles/Animal-Clinic-North.aspx,,"828 E 120th Ave,Northglenn,CO,80233"
Honolulu,Hawaii Veterinary Medical Association,http://www.findalocalvet.com/Profiles/Hawaii-Veterinary-Medical-Association.aspx,(808) 733-8828,"P.O. Box 61309,Honolulu,HI,96839"
Honolulu,Island Veterinary Care,http://www.findalocalvet.com/Profiles/Island-Veterinary-Care.aspx,,"830 Coolidge St # 1,Honolulu,HI,96826"
Honolulu,Hawaii Veterinary Vision Care,http://www.findalocalvet.com/Profiles/Hawaii-Veterinary-Vision-Care.aspx,,"1021 Akala Ln,Honolulu,HI,96814"
Honolulu,Kaka'ako Pet Hospital,http://www.findalocalvet.com/Profiles/Kakaako-Pet-Hospital.aspx,(808) 592-9999,"815 Queen St,Honolulu,HI,96813"
Honolulu,Equine Medicine,http://www.findalocalvet.com/Profiles/Equine-Medicine.aspx,,"PO Box 61837,Honolulu,HI,96839"
Dallas,Town & Country Pet Hospital,http://www.findalocalvet.com/Profiles/Town-Country-Pet-Hospital.aspx,(972) 788-4321,"5211 Forest Ln, #123,Dallas,TX,75244"
Dallas,North Tollway Pet Hospital,http://www.findalocalvet.com/Profiles/North-Tollway-Pet-Hospital.aspx,(972) 733-3340,"4727 Frankford Rd, #365,Dallas,TX,75287"
Dallas,Frankford Crest Animal Hospital,http://www.findalocalvet.com/Profiles/Frankford-Crest-Animal-Hospital.aspx,(972) 398-2111,"6911 Frankford Rd, Ste 600,Dallas,TX,75252"
Fresno,Abby Pet Hospital,http://www.findalocalvet.com/Profiles/Abby-Pet-Hospital.aspx,(559) 442-1127,"4508 E Ashlan Ave,Fresno,CA,93726"
Fresno,Shield Stone Pet Hospital Incorporated,http://www.findalocalvet.com/Profiles/Shield-Stone-Pet-Hospital-Incorporated.aspx,(559) 222-2800,"1610 E Shields Ave,Fresno,CA,93704"
Fresno,Pet Medical Center & Spa,http://www.findalocalvet.com/Profiles/Pet-Medical-Center-Spa.aspx,(559) 436-4444,"621 W Fallbrook Avenue,Fresno,CA,93650"
Fresno,North Pointe Animal Hospital,http://www.findalocalvet.com/Profiles/North-Pointe-Animal-Hospital.aspx,(559) 434-5470,"9525 N Sommerville Dr, #115,Fresno,CA,93720"
Las Vegas,Cheyenne West Animal Hospital,http://www.findalocalvet.com/Profiles/Cheyenne-West-Animal-Hospital.aspx,(702) 475-3523,"3650 N Buffalo Dr,Las Vegas,NV,89129"
Las Vegas,Park Animal Hospital,http://www.findalocalvet.com/Profiles/Park-Animal-Hospital2.aspx,(702) 361-5850,"8400 S Eastern Ave,Las Vegas,NV,89123"
Dallas,Spay Neuter Your Pet,http://www.findalocalvet.com/Profiles/Spay-Neuter-Your-Pet.aspx,(214) 349-7697,"8521 Ferndale Rd,Dallas,TX,75238"
Indianapolis,Southport Pet Hospital,http://www.findalocalvet.com/Profiles/Southport-Pet-Hospital.aspx,(317) 786-1483,"6955 Madison Avenue,Indianapolis,IN,46227"
Dallas,Casa Linda Animal Clinic,http://www.findalocalvet.com/Profiles/Casa-Linda-Animal-Clinic.aspx,(214) 328-5445,"11434 Garland Rd,Dallas,TX,75218"
Albuquerque,Northwest Animal Clinic & Hospital,http://www.findalocalvet.com/Profiles/Northwest-Animal-Clinic-Hospital.aspx,(505) 898-1491,"1000 Alameda Blvd NW,Albuquerque,NM,87114"
Dallas,City Pet Incorporated,http://www.findalocalvet.com/Profiles/City-Pet-Incorporated.aspx,(214) 252-9973,"2720 Oak Lawn Ave,Dallas,TX,75219"
Dallas,Veterinary Referral Center of North Texas,http://www.findalocalvet.com/Profiles/Veterinary-Referral-Center-of-North-Texas.aspx,(972) 407-9571,"4444 Trinity Mills Road,Dallas,TX,75287"
Dallas,East Lake Veterinary Hospital PC,http://www.findalocalvet.com/Profiles/East-Lake-Veterinary-Hospital-PC.aspx,(214) 342-3100,"10101 E Northwest Hwy,Dallas,TX,75238"
Dallas,North West Dallas Animal Clinic,http://www.findalocalvet.com/Profiles/North-West-Dallas-Animal-Clinic.aspx,(972) 488-5599,"12801 Midway Rd, Ste 210,Dallas,TX,75244"
Dallas,Rutherford Veterinary Hospital,http://www.findalocalvet.com/Profiles/Rutherford-Veterinary-Hospital.aspx,(214) 826-4166,"924 S Haskell Avenue,Dallas,TX,75223"
Dallas,North Dallas Veterinary Hospital,http://www.findalocalvet.com/Profiles/North-Dallas-Veterinary-Hospital.aspx,(972) 620-9012,"3452 Forest Ln, Ste 100,Dallas,TX,75229"
Fresno,Sierra View Animal Hospital,http://www.findalocalvet.com/Profiles/Sierra-View-Animal-Hospital.aspx,(559) 432-1200,"93 E Sierra Avenue,Fresno,CA,93710"
Dallas,Valley View Pet Health Center,http://www.findalocalvet.com/Profiles/Valley-View-Pet-Health-Center.aspx,(972) 247-2242,"2561 Valley View Lane,Farmers Branch,TX,75234"
Dallas,Richter Animal Hospital,http://www.findalocalvet.com/Profiles/Richter-Animal-Hospital.aspx,(817) 478-8000,"6320 Hwy 287, Suite 128,Arlington,TX,76003"
Dallas,Dr. Moomaw's Veterinary Housecall Practice,http://www.findalocalvet.com/Profiles/Dr-Moomaws-Veterinary-Housecall-Practice.aspx,(214) 339-1766,"2630 Woodmere Drive,Dallas,TX,75233"
Dallas,Summertree Animal Clinic,http://www.findalocalvet.com/Profiles/Summertree-Animal-Clinic.aspx,(972) 387-4168,"12300 Inwood Rd, #102,Dallas,TX,75244"
Dallas,Prestonwood Pet Clinic,http://www.findalocalvet.com/Profiles/Prestonwood-Pet-Clinic.aspx,,"5242 Meadowcreek Dr # 110,Dallas,TX,75248"
Honolulu,Animal Care Foundation,http://www.findalocalvet.com/Profiles/Animal-Care-Foundation.aspx,,"6650 Hawaii Kai Dr # 105,Honolulu,HI,96825"
Honolulu,Kokua Pet Clinic,http://www.findalocalvet.com/Profiles/Kokua-Pet-Clinic.aspx,,"1111 Dillingham Blvd # E5,Honolulu,HI,96817"
Honolulu,Animal Clinic Inc,http://www.findalocalvet.com/Profiles/Animal-Clinic-Inc.aspx,,"3270 Waialae Ave,Honolulu,HI,96816"
Honolulu,Aina Haina Pet Hospital Inc,http://www.findalocalvet.com/Profiles/Aina-Haina-Pet-Hospital-Inc.aspx,,"3405 Waialae Ave,Honolulu,HI,96816"
Honolulu,"Aloha Animal Hospital Associates, Inc.",http://www.findalocalvet.com/Profiles/Aloha-Animal-Hospital-Associates-Inc-.aspx,(808) 734-2242,"4224 Waialae Ave, #3,Honolulu,HI,96816"
Honolulu,Cat Clinic,http://www.findalocalvet.com/Profiles/Cat-Clinic.aspx,,"1131 Kapahulu Ave # 201,Honolulu,HI,96816"
Las Vegas,Island Pet Hospital,http://www.findalocalvet.com/Profiles/Island-Pet-Hospital.aspx,(702) 645-7387,"7025 W Ann Rd,Las Vegas,NV,89130"
Las Vegas,Sunset Eastern Animal Hospital,http://www.findalocalvet.com/Profiles/Sunset-Eastern-Animal-Hospital.aspx,(702) 361-2566,"6521 S Eastern Ave,Las Vegas,NV,89119"
Las Vegas,Pet Medical Center,http://www.findalocalvet.com/Profiles/Pet-Medical-Center2.aspx,(702) 228-4000,"9140 W Sahara Avenue,Las Vegas,NV,89117"
Las Vegas,Grand Montecito Animal Hospital,http://www.findalocalvet.com/Profiles/Grand-Montecito-Animal-Hospital.aspx,(702) 656-1115,"6325 Grand Montecito Pky,Las Vegas,NV,89149"
Las Vegas,Craig Road Animal Hospital,http://www.findalocalvet.com/Profiles/Craig-Road-Animal-Hospital.aspx,(702) 645-0331,"5051 W Craig Rd,Las Vegas,NV,89130"
Las Vegas,Sunrise Veterinary Clinic,http://www.findalocalvet.com/Profiles/Sunrise-Veterinary-Clinic2.aspx,,"417 N Eastern Ave,Las Vegas,NV,89101"
Indianapolis,Avalon Animal Clinic,http://www.findalocalvet.com/Profiles/Avalon-Animal-Clinic.aspx,(317) 842-4618,"8076 North Shadeland Ave,Indianapolis,IN,46250"
Las Vegas,Rainbow Animal Hospital,http://www.findalocalvet.com/Profiles/Rainbow-Animal-Hospital.aspx,,"244 S Rainbow Blvd,Las Vegas,NV,89145"
Las Vegas,Flamingo Pet Clinic,http://www.findalocalvet.com/Profiles/Flamingo-Pet-Clinic.aspx,,"2675 E Flamingo Rd # 1,Las Vegas,NV,89121"
Las Vegas,Haven Animal Hospital,http://www.findalocalvet.com/Profiles/Haven-Animal-Hospital.aspx,,"7775 S Rainbow Blvd # 160,Las Vegas,NV,89139"
Honolulu,Pet Doctor,http://www.findalocalvet.com/Profiles/Pet-Doctor2.aspx,,"4400 Kalanianaole Hwy # 6,Honolulu,HI,96821"
Las Vegas,Whitnee Chun DVM,http://www.findalocalvet.com/Profiles/Whitnee-Chun-DVM.aspx,,"2939 Lake East Dr,Las Vegas,NV,89117"
Las Vegas,Veterinary Ophthalmology Svc,http://www.findalocalvet.com/Profiles/Veterinary-Ophthalmology-Svc.aspx,,"1914 E Sahara Ave,Las Vegas,NV,89104"
Dallas,Mc Kinney Animal Clinic,http://www.findalocalvet.com/Profiles/Mc-Kinney-Animal-Clinic.aspx,,"11550 Ferguson Rd,Dallas,TX,75228"
Las Vegas,Pebble Road-MD Pkwy Anml Hosp,http://www.findalocalvet.com/Profiles/Pebble-Road-MD-Pkwy-Anml-Hosp.aspx,,"1247 E Pebble Rd,Las Vegas,NV,89123"
Las Vegas,Southwest Animal Hospital,http://www.findalocalvet.com/Profiles/Southwest-Animal-Hospital.aspx,,"6101 W Tropicana Ave,Las Vegas,NV,89103"
Dallas,Bent Tree Animal Hospital,http://www.findalocalvet.com/Profiles/Bent-Tree-Animal-Hospital.aspx,,"3851 Frankford Rd,Dallas,TX,75287"
Las Vegas,Lake Mead Animal Hospital,http://www.findalocalvet.com/Profiles/Lake-Mead-Animal-Hospital.aspx,,"4805 E Lake Mead Blvd,Las Vegas,NV,89115"
Las Vegas,Caring Hands Animal Hospital,http://www.findalocalvet.com/Profiles/Caring-Hands-Animal-Hospital3.aspx,,"8630 W Cheyenne Ave,Las Vegas,NV,89129"
Las Vegas,J Y L Rubin DVM,http://www.findalocalvet.com/Profiles/J-Y-L-Rubin-DVM.aspx,,"1261 S Decatur Blvd,Las Vegas,NV,89102"
Las Vegas,Gentle Doctor Animal Hospital,http://www.findalocalvet.com/Profiles/Gentle-Doctor-Animal-Hospital2.aspx,,"1550 S Rainbow Blvd,Las Vegas,NV,89146"
Las Vegas,Centennial Hills Animal Hospital,http://www.findalocalvet.com/Profiles/Centennial-Hills-Animal-Hospital.aspx,(702) 655-0241,"7551 N Cimarron Rd,Las Vegas,NV,89131"
Las Vegas,Northwest Veterinary Hospital,http://www.findalocalvet.com/Profiles/Northwest-Veterinary-Hospital2.aspx,,"6124 W Cheyenne Ave,Las Vegas,NV,89108"
Las Vegas,Doggy Doctor,http://www.findalocalvet.com/Profiles/Doggy-Doctor.aspx,,"3204 Ventana Hills Dr,Las Vegas,NV,89117"
Las Vegas,Banfield the Pet Hospital,http://www.findalocalvet.com/Profiles/Banfield-the-Pet-Hospital17.aspx,,"9869 S Eastern Ave,Las Vegas,NV,89183"
Indianapolis,Indiana Veterinary Medical Association,http://www.findalocalvet.com/Profiles/Indiana-Veterinary-Medical-Association.aspx,(317) 974-0888,"201 S. Capitol Avenue, Suite 405,Indianapolis,IN,46225"
Las Vegas,Dewey Veterinary Medical Center,http://www.findalocalvet.com/Profiles/Dewey-Veterinary-Medical-Center.aspx,(702) 997-8091,"4800 W Dewey Drive,Las Vegas,NV,89118"
Las Vegas,Aloha Animal Hospital Inc,http://www.findalocalvet.com/Profiles/Aloha-Animal-Hospital-Inc.aspx,,"7341 S Torrey Pines Dr,Las Vegas,NV,89139"
Indianapolis,Churchman Animal Hospital,http://www.findalocalvet.com/Profiles/Churchman-Animal-Hospital.aspx,,"2228 Churchman Ave,Indianapolis,IN,46203"
Indianapolis,Geist Station Animal Hospital,http://www.findalocalvet.com/Profiles/Geist-Station-Animal-Hospital.aspx,,"8150 Oaklandon Rd # 116,Oaklandon,IN,46236"
Indianapolis,Geckler Veterinary Hospital,http://www.findalocalvet.com/Profiles/Geckler-Veterinary-Hospital.aspx,,"711 Country Club Rd,Indianapolis,IN,46234"
Indianapolis,Broad Ripple Animal Clinic & Wellness Center,http://www.findalocalvet.com/Profiles/Broad-Ripple-Animal-Clinic-Wellness-Center.aspx,(317) 257-5334,"6225 Broadway St,Indianapolis,IN,46220"
Indianapolis,VCA Shadeland Animal Hosp,http://www.findalocalvet.com/Profiles/VCA-Shadeland-Animal-Hosp.aspx,,"4445 N Shadeland Ave,Indianapolis,IN,46226"
Indianapolis,South 31 Veterinary Clinic,http://www.findalocalvet.com/Profiles/South-31-Veterinary-Clinic.aspx,,"5911 S East St,Indianapolis,IN,46227"
Indianapolis,Neighborhood Veterinarian,http://www.findalocalvet.com/Profiles/Neighborhood-Veterinarian.aspx,,"2110 E 62nd St,Indianapolis,IN,46220"
Indianapolis,FT Harrison Veterinarians,http://www.findalocalvet.com/Profiles/FT-Harrison-Veterinarians.aspx,(317) 546-2338,"9160 Otis Ave,Indianapolis,IN,46216"
Indianapolis,Thirtieth Street Animal Hosp,http://www.findalocalvet.com/Profiles/Thirtieth-Street-Animal-Hosp.aspx,,"8550 E 30th St,Indianapolis,IN,46219"
Indianapolis,Lafayette Road Vet Hospital,http://www.findalocalvet.com/Profiles/Lafayette-Road-Vet-Hospital.aspx,,"2901 Lafayette Rd,Indianapolis,IN,46222"
Las Vegas,Animal Kingdom Veterinary Hosp,http://www.findalocalvet.com/Profiles/Animal-Kingdom-Veterinary-Hosp2.aspx,,"1325 Vegas Valley Dr,Las Vegas,NV,89169"
Indianapolis,Shelbyville Road Veterinary,http://www.findalocalvet.com/Profiles/Shelbyville-Road-Veterinary.aspx,,"5120 Shelbyville Rd,Indianapolis,IN,46237"
Indianapolis,Indianapolis Veterinary Emergency Center,http://www.findalocalvet.com/Profiles/Indianapolis-Veterinary-Emergency-Center.aspx,(317) 782-4418,"5425 Victory Drive,Indianapolis,IN,46203"
Las Vegas,Banfield the Pet Hospital,http://www.findalocalvet.com/Profiles/Banfield-the-Pet-Hospital77.aspx,,"2140 N Rainbow Blvd,Las Vegas,NV,89108"
Indianapolis,Brookville Road Animal Hosp,http://www.findalocalvet.com/Profiles/Brookville-Road-Animal-Hosp.aspx,,"8049 Brookville Rd,Indianapolis,IN,46239"
Albuquerque,Abide Mobile Dog & Cat Clinic,http://www.findalocalvet.com/Profiles/Abide-Mobile-Dog-Cat-Clinic.aspx,,"2873 Brushwood St NE,Albuquerque,NM,87122"
Indianapolis,Irvington Pet Clinic Inc,http://www.findalocalvet.com/Profiles/Irvington-Pet-Clinic-Inc.aspx,,"6738 E Washington St,Indianapolis,IN,46219"
Albuquerque,Ponderosa Animal Clinic,http://www.findalocalvet.com/Profiles/Ponderosa-Animal-Clinic.aspx,,"5201 Ponderosa Ave NE,Albuquerque,NM,87110"
Las Vegas,Creature Comforts Animal Hospital,http://www.findalocalvet.com/Profiles/Creature-Comforts-Animal-Hospital.aspx,(702) 658-7339,"5741 Sky Pointe Dr.,Las Vegas,NV,89130"
Albuquerque,Rio Grande Animal Clinic,http://www.findalocalvet.com/Profiles/Rio-Grande-Animal-Clinic.aspx,,"1913 Candelaria Rd NW,Albuquerque,NM,87107"
Indianapolis,Binford Pet Wellness Clinic,http://www.findalocalvet.com/Profiles/Binford-Pet-Wellness-Clinic.aspx,(866) 341-1408,"5868 East 71st Street, Suite P,Indianapolis,IN,46220"
San Diego,South San Diego Vetry Hospital,http://www.findalocalvet.com/Profiles/South-San-Diego-Vetry-Hospital.aspx,(619) 423-7121,"2910 Coronado Ave,San Diego,CA,92154"
San Diego,Carmel Mountain Ranch Veterinary Hospital,http://www.findalocalvet.com/Profiles/Carmel-Mountain-Ranch-Veterinary-Hospital.aspx,(858) 592-9779,"11925 Carmel Mountain Rd,San Diego,CA,92128"
San Diego,Point Loma Veterinary Clinic,http://www.findalocalvet.com/Profiles/Point-Loma-Veterinary-Clinic.aspx,(619) 222-4482,"1964 Sunset Cliffs Blvd ,San Diego,CA,92107"
San Diego,Cabrillo Pet Hospital,http://www.findalocalvet.com/Profiles/Cabrillo-Pet-Hospital.aspx,(619) 225-9684,"4138 Voltaire Street,San Diego,CA,92107"
San Diego,Catnap RVT Relief Services,http://www.findalocalvet.com/Profiles/Catnap-RVT-Relief-Services.aspx,(619) 884-9601,"3059 W. Canyon Avenue,San Diego,CA,92123"
San Diego,Southern California Veterinary,http://www.findalocalvet.com/Profiles/Southern-California-Veterinary.aspx,(858) 279-2108,"5610 Kearny Mesa Rd, Suite B1,San Diego,CA,92111"
San Diego,A Animal ER Of San Diego,http://www.findalocalvet.com/Profiles/A-Animal-ER-Of-San-Diego.aspx,,"5610 Kearny Mesa Rd,San Diego,CA,92111"
Indianapolis,Englewood Veterinarians,http://www.findalocalvet.com/Profiles/Englewood-Veterinarians.aspx,,"3203 E Washington St,Indianapolis,IN,46201"
San Diego,Governor Animal Clinic,http://www.findalocalvet.com/Profiles/Governor-Animal-Clinic.aspx,,"3240 Governor Dr,San Diego,CA,92122"
San Diego,Boulevard Animal Clinic,http://www.findalocalvet.com/Profiles/Boulevard-Animal-Clinic.aspx,,"7047 El Cajon Blvd,San Diego,CA,92115"
San Diego,Carmel Valley Pet Clinic,http://www.findalocalvet.com/Profiles/Carmel-Valley-Pet-Clinic.aspx,(858) 259-8881,"3890 Valley Centre Dr, Ste 101,San Diego  ,CA,92130"
San Diego,Eye Clinic for Animals,http://www.findalocalvet.com/Profiles/Eye-Clinic-for-Animals.aspx,,"5610 Kearny Mesa Rd # A,San Diego,CA,92111"
San Diego,Lifetime Animal Care Center,http://www.findalocalvet.com/Profiles/Lifetime-Animal-Care-Center.aspx,(858) 274-1760,"4941 Clairemont Dr, #G,San Diego,CA,92117"
Indianapolis,Animal Medical Ctr,http://www.findalocalvet.com/Profiles/Animal-Medical-Ctr17.aspx,,"8040 E Washington St,Indianapolis,IN,46219"
San Diego,Sunset Cliffs Animal Clinic,http://www.findalocalvet.com/Profiles/Sunset-Cliffs-Animal-Clinic.aspx,(619) 224-0773,"4862 Santa Monica Ave,San Diego,CA,92107"
San Diego,Pet Hospital of North Park,http://www.findalocalvet.com/Profiles/Pet-Hospital-of-North-Park.aspx,(619) 278-0000,"2444 University Avenue,San Diego,CA,92104"
San Diego,Scripps Parkway Veterinary Hospital,http://www.findalocalvet.com/Profiles/Scripps-Parkway-Veterinary-Hospital.aspx,(858) 695-9996,"10755 Scripps Poway Pky,San Diego,CA,92131"
San Diego,Rose Canyon Animal Hospital,http://www.findalocalvet.com/Profiles/Rose-Canyon-Animal-Hospital.aspx,(858) 273-4680,"4295 Jutland Dr,San Diego,CA,92117"
San Diego,Bay Park Veterinary Clinic,http://www.findalocalvet.com/Profiles/Bay-Park-Veterinary-Clinic.aspx,(619) 276-1616,"3024 Hancock St,San Diego,CA,92110"
San Diego,Kearny Mesa Veterinary Center,http://www.findalocalvet.com/Profiles/Kearny-Mesa-Veterinary-Center.aspx,(858) 279-3000,"7677 Ronson Road,San Diego,CA,92111"
San Diego,Penasquitos Pet Clinic,http://www.findalocalvet.com/Profiles/Penasquitos-Pet-Clinic.aspx,(858) 484-1260,"9728 Carmel Mountain Rd, Ste E,San Diego,CA,92129"
San Diego,Shelter Island Veterinary Hospital,http://www.findalocalvet.com/Profiles/Shelter-Island-Veterinary-Hospital.aspx,(619) 222-0597,"3625 Midway Drive, Suite T,San Diego  ,CA,92110"
San Diego,Banfield the Pet Hospital,http://www.findalocalvet.com/Profiles/Banfield-the-Pet-Hospital15.aspx,,"3396 Murphy Canyon Rd,San Diego,CA,92123"
San Diego,Veterinary Surgical Specialists,http://www.findalocalvet.com/Profiles/Veterinary-Surgical-Specialists.aspx,(858) 560-8006,"5610 Kearny Mesa Road ,Suite B,San Diego,CA,92111"
San Diego,San Carlos Veterinary Hospital,http://www.findalocalvet.com/Profiles/San-Carlos-Veterinary-Hospital.aspx,(619) 460-3100,"8618 Lake Murray Blvd,San Diego,CA,92119"
San Diego,Latin American Vet Med Assn,http://www.findalocalvet.com/Profiles/Latin-American-Vet-Med-Assn.aspx,,"5530 University Ave,San Diego,CA,92105"
San Diego,Friars Road Pet Hospital,http://www.findalocalvet.com/Profiles/Friars-Road-Pet-Hospital.aspx,(619) 282-7677,"10433 Friars Rd, Ste F,San Diego,CA,92120"
San Diego,Penasquito Pet Clinic,http://www.findalocalvet.com/Profiles/Penasquito-Pet-Clinic.aspx,(858) 484-1260,"9728 Carmel Mountain Rd, Suite E,San Diego,CA,92129"
Colorado Springs,North Academy & Briargate Veterinary Hospitals,http://www.findalocalvet.com/Profiles/North-Academy-Briargate-Veterinary-Hospitals.aspx,(719) 599-4443,"5875 N Academy Blvd,Colorado Springs,CO,80918"
Colorado Springs,Aspen View Veterinary Hospital,http://www.findalocalvet.com/Profiles/Aspen-View-Veterinary-Hospital.aspx,(719) 638-6363,"5925 Constitution Ave,Colorado Springs,CO,80915"
San Diego,Balboa Veterinary Hospital,http://www.findalocalvet.com/Profiles/Balboa-Veterinary-Hospital.aspx,(858) 279-0425,"7931 Balboa Avenue,San Diego,CA,92111"
San Diego,Bayside Veterinary Hospital,http://www.findalocalvet.com/Profiles/Bayside-Veterinary-Hospital.aspx,(619) 225-8000,"1270 Scott Street,San Diego,CA,92106"
Colorado Springs,Northgate Animal Hospital,http://www.findalocalvet.com/Profiles/Northgate-Animal-Hospital.aspx,(719) 481-3080,"12225 Voyager Parkway Suite 12,Colorado Springs,CO,80921"
Colorado Springs,Rockrimmon Animal Hospital,http://www.findalocalvet.com/Profiles/Rockrimmon-Animal-Hospital.aspx,(719) 599-4438,"6636 Delmonico Dr,Colorado Springs,CO,80919"
Colorado Springs,Aariana Animal Hospital Assoc,http://www.findalocalvet.com/Profiles/Aariana-Animal-Hospital-Assoc.aspx,,"115 E Ramona Ave,Colorado Springs,CO,80905"
Colorado Springs,Westside Animal Hospital,http://www.findalocalvet.com/Profiles/Westside-Animal-Hospital5.aspx,,"1603 W Colorado Ave,Colorado Springs,CO,80904"
Colorado Springs,North Powers Animal Hospital,http://www.findalocalvet.com/Profiles/North-Powers-Animal-Hospital.aspx,(719) 282-1222,"5470 Powers Center Point,Colorado Springs,CO,80920"
Colorado Springs,Briargate Blvd Animal Hospital,http://www.findalocalvet.com/Profiles/Briargate-Blvd-Animal-Hospital.aspx,(719) 357-8971,"3455 Briargate Blvd,Colorado Springs,CO,80920"
Colorado Springs,Brown Veterinary Hospital,http://www.findalocalvet.com/Profiles/Brown-Veterinary-Hospital.aspx,(719) 355-8694,"45 E Old Broadmoor Road,Colorado Springs,CO,80906"
Colorado Springs,Animal Dental Care,http://www.findalocalvet.com/Profiles/Animal-Dental-Care2.aspx,(719) 536-9949,"5520 N. Nevada Ave Suite 150,Colorado Springs,CO,80918"
Colorado Springs,Animal Dental Care,http://www.findalocalvet.com/Profiles/Animal-Dental-Care.aspx,,"5520 N Nevada Ave # 150,Colorado Springs,CO,80918"
San Diego,Turquoise Animal Hospital,http://www.findalocalvet.com/Profiles/Turquoise-Animal-Hospital.aspx,(858) 488-0658,"950 Turquoise St,San Diego,CA,92109"
Colorado Springs,Airway Veterinary Hospital,http://www.findalocalvet.com/Profiles/Airway-Veterinary-Hospital.aspx,(719) 623-5461,"5280 Edison Ave,Colorado Springs,CO,80915"
Colorado Springs,Westside Animal Hospital,http://www.findalocalvet.com/Profiles/Westside-Animal-Hospital3.aspx,(719) 632-6111,"1603 West Colorado Avenue,Colorado Springs,CO,80904"
Colorado Springs,Austin Bluffs Animal Clinic,http://www.findalocalvet.com/Profiles/Austin-Bluffs-Animal-Clinic.aspx,,"4323 Austin Bluffs Pkwy,Colorado Springs,CO,80918"
Colorado Springs,Alpine at Noah's Ark,http://www.findalocalvet.com/Profiles/Alpine-at-Noahs-Ark.aspx,,"4335 E Platte Ave,Colorado Springs,CO,80915"
Colorado Springs,Eye Specialists for Animals,http://www.findalocalvet.com/Profiles/Eye-Specialists-for-Animals2.aspx,,"3515 American Dr # A,Colorado Springs,CO,80917"
Colorado Springs,Rocky Mountain Equine Clinic,http://www.findalocalvet.com/Profiles/Rocky-Mountain-Equine-Clinic.aspx,,"14775 Black Forest Rd,Colorado Springs,CO,80908"
Colorado Springs,Polo Springs Veterinary Hospital,http://www.findalocalvet.com/Profiles/Polo-Springs-Veterinary-Hospital.aspx,(719) 264-8384,"5557 Austin Bluffs Pky,Colorado Springs,CO,80923"
San Diego,Market Street Veterinary Clinic,http://www.findalocalvet.com/Profiles/Market-Street-Veterinary-Clinic.aspx,(619) 230-1220,"1051 Market St,San Diego,CA,92101"
Colorado Springs,Dublin Animal Hospital,http://www.findalocalvet.com/Profiles/Dublin-Animal-Hospital.aspx,(719) 355-8165,"888 Dublin Blvd,Colorado Springs,CO,80918"
Columbus,Animal Emergency & Medical Hospital,http://www.findalocalvet.com/Profiles/Animal-Emergency-Medical-Hospital.aspx,(614) 567-1025,"2527 W Dublin Granville Rd,Columbus,OH,43235"
